countyFIPS,County Name,No Diploma,High School,Associate's,Bachelor's,Graduate,Foreign Born
0500000US48201,"Harris County, Texas",244366,717709,224214,619238,357570,1238035
0500000US48203,"Harrison County, Texas",4317,14097,3223,5869,2892,2564
0500000US48209,"Hays County, Texas",8734,35664,9302,34352,16457,19908
0500000US48213,"Henderson County, Texas",8288,20776,4539,6419,2942,3781
0500000US48215,"Hidalgo County, Texas",63937,120675,25609,66693,27258,228865
0500000US48231,"Hunt County, Texas",6098,22132,3458,8107,4995,6559
0500000US48245,"Jefferson County, Texas",14256,50876,14665,23241,11779,31510
0500000US48251,"Johnson County, Texas",10891,45676,6897,15484,6257,8988
0500000US48257,"Kaufman County, Texas",8678,27021,7251,12008,4272,11581
0500000US48291,"Liberty County, Texas",6546,20849,3571,4830,2253,8284
0500000US48303,"Lubbock County, Texas",12408,47118,9881,36085,23460,19233
0500000US48309,"McLennan County, Texas",12899,41352,18897,25722,14798,20303
0500000US48329,"Midland County, Texas",8574,25432,7873,22102,10393,25883
0500000US48339,"Montgomery County, Texas",27069,92397,26633,91648,43311,84519
0500000US48347,"Nacogdoches County, Texas",2930,12161,1915,5674,3510,5083
0500000US48355,"Nueces County, Texas",21124,74364,19342,35261,21099,34295
0500000US48361,"Orange County, Texas",4678,17615,7294,9139,1528,1706
0500000US48367,"Parker County, Texas",7742,26238,12864,15826,8029,8170
0500000US48375,"Potter County, Texas",9717,23420,6521,6695,3246,16639
0500000US48381,"Randall County, Texas",3233,22474,7975,21286,10596,7698
0500000US48397,"Rockwall County, Texas",1733,12273,8268,16338,11427,9578
0500000US48409,"San Patricio County, Texas",3408,15605,2650,4802,1719,2298
0500000US48423,"Smith County, Texas",10161,36383,14770,28130,13675,19630
0500000US48439,"Tarrant County, Texas",92840,331957,103549,313604,149020,341871
0500000US48441,"Taylor County, Texas",4466,26434,7116,14728,7945,8412
0500000US48451,"Tom Green County, Texas",5019,22768,4901,10378,8069,7829
0500000US48453,"Travis County, Texas",37676,140186,50924,289692,177679,233435
0500000US48469,"Victoria County, Texas",4895,18813,6674,7124,4214,4965
0500000US48471,"Walker County, Texas",3294,18755,3325,6120,2942,6275
0500000US48479,"Webb County, Texas",24457,30963,12608,23467,8165,67581
0500000US48485,"Wichita County, Texas",7186,29657,6517,11215,7760,7137
0500000US48491,"Williamson County, Texas",12836,83064,33169,112120,52416,79290
0500000US48497,"Wise County, Texas",3493,16981,2993,5985,2108,6381
0500000US49005,"Cache County, Utah",3786,14431,4412,15449,8803,9023
0500000US49011,"Davis County, Utah",4933,43705,23073,52398,23899,18105
0500000US49035,"Salt Lake County, Utah",38404,168024,66087,181285,94789,152489
0500000US49045,"Tooele County, Utah",2405,14142,3908,7004,2874,2143
0500000US49049,"Utah County, Utah",8380,57050,32778,93027,38777,48370
0500000US49053,"Washington County, Utah",5321,25469,15716,19443,12180,10720
0500000US49057,"Weber County, Utah",8524,46785,15762,31562,12280,17051
0500000US50007,"Chittenden County, Vermont",3943,20500,9427,32404,24584,14715
0500000US51003,"Albemarle County, Virginia",2018,11320,3055,22332,22540,10723
0500000US51013,"Arlington County, Virginia",3794,12598,8085,60917,70155,52014
0500000US51015,"Augusta County, Virginia",4840,23061,3984,7909,3175,2542
0500000US51019,"Bedford County, Virginia",3726,14454,4056,10839,7066,1796
0500000US51041,"Chesterfield County, Virginia",11154,57475,19369,59383,36868,31535
0500000US51059,"Fairfax County, Virginia",24135,94511,47634,247153,242579,360500
0500000US51061,"Fauquier County, Virginia",2646,12767,4109,11079,6396,4775
0500000US51069,"Frederick County, Virginia",4521,20226,5277,9775,7691,6123
0500000US51085,"Hanover County, Virginia",3531,19502,5776,18457,11676,3845
0500000US51087,"Henrico County, Virginia",13597,50596,15565,58254,40761,44277
0500000US51095,"James City County, Virginia",1442,10840,4436,14891,14421,5609
0500000US51107,"Loudoun County, Virginia",7657,32470,16777,98459,67894,103528
0500000US51121,"Montgomery County, Virginia",1653,15374,2975,12114,13616,7990
0500000US51153,"Prince William County, Virginia",14084,54935,24911,77527,52558,122365
0500000US51161,"Roanoke County, Virginia",4803,16690,7392,16547,9573,5337
0500000US51165,"Rockingham County, Virginia",5325,20087,3681,8520,6407,5760
0500000US51177,"Spotsylvania County, Virginia",4921,25979,8602,18166,10492,12559
0500000US51179,"Stafford County, Virginia",3325,24737,7113,23959,15382,17086
0500000US51199,"York County, Virginia",1315,8636,3647,12287,11489,5398
0500000US51510,"Alexandria city, Virginia",4829,12753,6749,38790,41947,40572
0500000US51550,"Chesapeake city, Virginia",11459,40613,17963,32329,20623,18337
0500000US51650,"Hampton city, Virginia",5528,27376,8951,14510,9398,6557
0500000US51680,"Lynchburg city, Virginia",4647,10908,2903,10760,6597,3549
0500000US51700,"Newport News city, Virginia",7869,35611,13674,18141,12628,17554
0500000US51710,"Norfolk city, Virginia",12749,39397,13041,28822,17838,17479
0500000US51740,"Portsmouth city, Virginia",6366,18627,6211,9064,4666,1712
0500000US51760,"Richmond city, Virginia",17354,35423,7912,38741,25490,18924
0500000US51770,"Roanoke city, Virginia",4915,24386,5923,9459,6879,5176
0500000US51800,"Suffolk city, Virginia",4124,15761,6328,12269,7171,3921
0500000US51810,"Virginia Beach city, Virginia",13020,58145,37937,71164,47433,41966
0500000US53005,"Benton County, Washington",5568,32160,15138,27190,15810,22612
0500000US53007,"Chelan County, Washington",4926,13261,5834,9372,4035,11751
0500000US53009,"Clallam County, Washington",4166,15913,6038,9200,7936,4009
0500000US53011,"Clark County, Washington",15812,87594,35402,69032,36186,54064
0500000US53015,"Cowlitz County, Washington",5296,22743,9600,8010,3838,4989
0500000US53021,"Franklin County, Washington",6284,15039,5582,6306,3031,23546
0500000US53025,"Grant County, Washington",6459,17772,6980,8581,2250,16071
0500000US53027,"Grays Harbor County, Washington",2414,20219,6556,6307,4352,3928
0500000US53029,"Island County, Washington",2365,12417,7766,12437,8990,6110
0500000US53033,"King County, Washington",55319,233533,118926,513884,363392,557727
0500000US53035,"Kitsap County, Washington",4588,42413,20064,43853,22466,17086
0500000US53041,"Lewis County, Washington",5967,16175,6284,6948,3951,3893
0500000US53045,"Mason County, Washington",2926,14765,5388,6095,4246,3191
0500000US53053,"Pierce County, Washington",33327,170434,70828,114217,58236,90590
0500000US53057,"Skagit County, Washington",5666,23354,9085,16181,8642,12610
0500000US53061,"Snohomish County, Washington",24495,133513,64463,126101,63901,134409
0500000US53063,"Spokane County, Washington",16579,81040,47598,69847,41121,28550
0500000US53067,"Thurston County, Washington",9802,46261,22458,41091,29405,27160
